file,line,snippet
src/components/portal/PortalAuthGuard.tsx,61,supabase.from('location_events').insert({
src/components/portal/field/AssignedOrdersPage.tsx,261,await supabase.from('internal_notifications').insert({
src/components/portal/field/MakeDeliveryPage.tsx,138,.update({ status: 'arrived' })
src/components/portal/field/MakeDeliveryPage.tsx,169,.update({
src/components/portal/field/MakeDeliveryPage.tsx,179,.insert({
src/components/portal/field/MakeDeliveryPage.tsx,211,.update({
src/components/portal/field/MakeDeliveryPage.tsx,220,.insert({
src/components/portal/field/StoreVisitEngine.tsx,579,.insert(lineItems);
src/components/production/CostBreakdownPanel.tsx,271,.update({
src/components/production/CostBreakdownPanel.tsx,754,.update({
src/components/production/DailyBatchEntry.tsx,141,.insert({
src/components/revenue/StoreProductPredictionsPanel.tsx,22,await supabase.from('follow_up_queue').insert({
src/components/sbo/ChingWorldPicksSMS.tsx,233,"mutationFn: async (id: string) => { await (supabase as any).from(""sbo_sms_recipients"").delete().eq(""id"", id); },"
src/components/sbo/ChingWorldPicksSMS.tsx,239,"await (supabase as any).from(""sbo_sms_recipients"").update({ active: !active }).eq(""id"", id);"
src/components/sbo/ChingWorldPicksSMS.tsx,246,"await (supabase as any).from(""sbo_sms_recipients"").update({ auto_send: !autoSend }).eq(""id"", id);"
src/components/sbo/ParlayResultsSection.tsx,174,"await (supabase as any).from(table).update({ result }).eq('id', parlayId);"
src/components/sbo/PrizePicksAnalyzer.tsx,455,"await (supabase as any).from('sbo_player_props').delete().eq('source', 'prizepicks').eq('game_date', todayEST);"
src/components/scheduling/SendToRouteModal.tsx,290,.update({
src/components/scheduling/SendToRouteModal.tsx,312,.update({
src/components/security/PortalGuard.tsx,47,await supabase.from('security_audit_log').insert({
src/components/store/AddContactModal.tsx,75,.update({ is_primary: false })
src/components/store/ConnectStoresModal.tsx,139,.update({ connected_group_id: groupId })
src/components/store/ConnectStoresModal.tsx,168,.update({ connected_group_id: null })
src/components/store/ConnectStoresModal.tsx,215,.update({ connected_group_id: pendingGroupId })
src/components/store/ConnectStoresModal.tsx,224,.update({ connected_group_id: effectiveGroupId })
src/components/store/ConnectStoresModal.tsx,253,".upsert(rows as any, { onConflict: 'store_id,brand_id' });"
src/components/store/ConnectedStoresCard.tsx,165,.update({ connected_group_id: null })
src/components/store/ContactCommunicationTimeline.tsx,239,"await supabase.from(""communication_logs"").insert({"
src/components/store/EditableTubeInventoryCard.tsx,141,.update({
src/components/store/EditableTubeInventoryCard.tsx,152,.insert({
src/components/store/OrderHistoryCard.tsx,150,.update({
src/components/store/SellsFlowersToggle.tsx,92,.update({
src/components/store/StoreCardQuickView.tsx,157,.update({ updated_at: new Date().toISOString() } as any)
src/components/store/StoreCardQuickView.tsx,187,.update({ updated_at: nowIso } as any)
src/components/store/StoreCardQuickView.tsx,274,".update({ updated_at: nowIso, updated_by: user?.id ?? null } as any)"
src/components/store/StoreCardQuickView.tsx,783,".update({ updated_at: nowIso, updated_by: user?.id ?? null } as any)"
src/components/store/StoreCardQuickView.tsx,1039,".update({ updated_at: nowIso, updated_by: user?.id ?? null } as any)"
src/components/store/StoreContactActions.tsx,126,await supabase.from('account_notes' as any).insert({
src/components/store/StoreFollowUpsPanel.tsx,135,.update({ updated_at: new Date().toISOString() } as any)
src/components/store/StoreFollowUpsPanel.tsx,164,.update({ updated_at: nowIso } as any)
src/components/store/StoreQuickNotes.tsx,107,".update({ updated_at: nowIso, updated_by: user?.id ?? null } as any)"
src/components/store/UnifiedTubeIntelligenceCard.tsx,307,await supabase.from('store_tube_inventory').update({
src/components/store/UnifiedTubeIntelligenceCard.tsx,315,await supabase.from('store_tube_inventory').insert({
src/components/store/UpdateInventoryModal.tsx,110,await supabase.from('inventory_events').insert({
src/components/va/VACallPanel.tsx,168,".update({ call_status: 'completed', duration_seconds: seconds })"
src/components/va/VAInCallModal.tsx,80,"await (supabase as any).from('va_call_logs').update({ va_notes: notes }).eq('id', callLogId);"
src/components/va/VAPowerDialer.tsx,284,".update({ status: 'skipped', completed_at: new Date().toISOString() })"
src/components/va/VAPowerDialer.tsx,312,".update({ status: 'skipped', completed_at: new Date().toISOString() })"
src/components/va/VAPowerDialer.tsx,321,".update({ status: 'skipped', completed_at: new Date().toISOString() })"
src/components/va/VAPowerDialer.tsx,344,".update({ status: 'skipped', completed_at: new Date().toISOString() })"
src/components/va/VAPowerDialer.tsx,353,.update({
src/components/va/VAPowerDialer.tsx,465,await (supabase as any).from('va_call_logs').insert({
src/components/va/VAPowerDialer.tsx,480,".update({ status: 'completed', completed_at: new Date().toISOString() })"
src/components/va/VAPowerDialer.tsx,487,.update({ do_not_call: true })
src/components/va/VAPowerDialer.tsx,512,".update({ status: 'skipped', completed_at: new Date().toISOString() })"
src/components/wholesaler-console/BulkUploadModule.tsx,272,await supabase.from('products_all').insert({
src/contexts/SimulationModeContext.tsx,245,await supabase.from('simulation_mode_audit').insert({
src/contexts/VASessionContext.tsx,57,.insert({
src/contexts/VASessionContext.tsx,88,".update({ is_active: false, ended_at: new Date().toISOString() })"
src/contexts/VASessionContext.tsx,99,.insert({
src/contexts/VASessionContext.tsx,114,.update({ twilio_number_id: numberId })
src/contexts/VASessionContext.tsx,144,".update({ is_active: false, ended_at: new Date().toISOString() })"
src/contexts/VASessionContext.tsx,158,.update({ last_seen_at: new Date().toISOString() })
src/contexts/ViewAsContext.tsx,80,await supabase.from('admin_impersonation_log').insert({
src/contexts/ViewAsContext.tsx,98,.update({ ended_at: new Date().toISOString() })
src/examples/automationIntegrationExample.ts,110,.insert(orderData)
src/hooks/useAIDispatchTelemetry.ts,71,await supabase.from('ai_dispatch_feedback').insert([payload]);
src/hooks/useAiCommandEngine.ts,441,await (supabase as any).from('route_stops').insert(stops);
src/hooks/useAiCommandEngine.ts,444,await (supabase as any).from('scheduled_tasks').insert({
src/hooks/useAmbassadorComms.ts,492,".update({ usage_count: (tpl.usage_count || 0) + 1, last_used_at: new Date().toISOString() })"
src/hooks/useAmbassadorLeads.ts,330,.update({
src/hooks/useAmbassadorLeads.ts,399,.update({
src/hooks/useAmbassadorLeads.ts,452,.update({
src/hooks/useAmbassadorLeads.ts,524,.update({
src/hooks/useAmbassadorTerritory.ts,71,await supabase.from('ambassador_region_history').insert({
src/hooks/useAmbassadorTerritory.ts,121,await supabase.from('ambassador_region_history').insert({
src/hooks/useAuditLog.ts,32,"await supabase.from(""audit_logs"").insert([{"
src/hooks/useAutoAnalytics.ts,113,.update({
src/hooks/useAutonomousOps.ts,219,let query = supabase.from('ai_ops_log').delete();
src/hooks/useAutonomyEngine.ts,255,.update({ status: 'executed' })
src/hooks/useAutonomyEngine.ts,310,.update({ status: 'rolled_back' })
src/hooks/useAutonomyGuardrails.ts,135,.update({
src/hooks/useAutonomyGuardrails.ts,243,.insert({
src/hooks/useBatchCostHistory.ts,220,await supabase.from('profit_per_lb_snapshots' as any).insert({
src/hooks/useBikerIssues.ts,244,await supabase.from('internal_notifications').insert({
src/hooks/useBrandCRMV3.ts,277,"await supabase.from(""brand_tasks"").insert({"
src/hooks/useBrandaroClosePipeline.ts,39,"await (supabase as any).from(""brandaro_followup_sequences"").insert({"
src/hooks/useBrandaroCloserRecovery.ts,35,"await (supabase as any).from(""brandaro_payment_recovery"").insert({"
src/hooks/useBrandaroCloserRecovery.ts,49,".update({ recovery_attempts: 1, last_recovery_at: new Date().toISOString() })"
src/hooks/useBrandaroCloserRecovery.ts,108,.update({ seen: true })
src/hooks/useBrandaroCloserRecovery.ts,146,"await (supabase as any).from(""brandaro_human_handoff_queue"").insert({"
src/hooks/useBrandaroCloserRecovery.ts,157,"await (supabase as any).from(""brandaro_closer_alerts"").insert({"
src/hooks/useBrandaroLearning.ts,104,".update({ frequency: newFreq, success_rate: newRate, updated_at: new Date().toISOString() })"
src/hooks/useBrandaroLearning.ts,109,.insert({
src/hooks/useBrandaroVAPerformance.ts,42,"await supabase.from(""brandaro_va_daily_performance"" as any).insert({"
src/hooks/useBrandaroVAPerformance.ts,336,.update(update)
src/hooks/useBulkMessageSend.ts,66,"await supabase.from(""message_send_queue_items"" as any).insert(items);"
src/hooks/useBulkMessageSend.ts,89,.update({
src/hooks/useBulkMessageSend.ts,101,.update({
src/hooks/useBulkMessageSend.ts,113,.update({
src/hooks/useBulkMessageSend.ts,128,.update({
src/hooks/useBulkOutreach.ts,220,await supabase.from('ambassador_bulk_job_items' as any).insert(items);
src/hooks/useBulkUpload.ts,563,.update({
src/hooks/useBulkUpload.ts,790,"await supabase.from(""store_master"").update(smUpdate).eq(""id"", existingSM.id);"
src/hooks/useBulkUpload.ts,792,"await supabase.from(""store_master"").insert(storeMasterData);"
src/hooks/useBulkUpload.ts,800,"await supabase.from(""store_master"").insert(storeMasterData);"
src/hooks/useBulkUpload.ts,907,".upsert({ name: tag, slug, status: ""active"" }, { onConflict: ""name"" })"
src/hooks/useBulkUpload.ts,912,"await supabase.from(""tag_attachments"").upsert("
src/hooks/useBulkUpload.ts,952,"await supabase.from(""store_notes"").insert(noteInserts);"
src/hooks/useBulkUpload.ts,996,"await supabase.from(""store_tube_inventory_status"").upsert("
src/hooks/useBulkUpload.ts,1053,"await supabase.from(""invoices"").insert({"
src/hooks/useBulkUpload.ts,1079,"await supabase.from(""store_master"").update({"
src/hooks/useBulkUpload.ts,1136,"await supabase.from(""store_contacts"").insert({"
src/hooks/useBulkUpload.ts,1317,"await supabase.from(""store_notes"").insert({"
src/hooks/useCRMAccess.ts,236,.update({ status: 'expired' })
src/hooks/useCollectionAutomation.ts,272,.insert({
src/hooks/useCollectionAutomation.ts,466,.insert({
src/hooks/useCollections.ts,477,.update({ status: 'escalated' })
src/hooks/useCollections.ts,496,.insert({
src/hooks/useCollections.ts,550,.insert({
src/hooks/useCollections.ts,594,.insert({
src/hooks/useCollections.ts,632,.insert({
src/hooks/useCommunicationDrafts.ts,289,"await supabase.from(""communication_sent_log"").insert({"
src/hooks/useConfirmedWinners.ts,126,await supabase.from('confirmation_audit_log').insert({
src/hooks/useConfirmedWinners.ts,157,await supabase.from('confirmation_audit_log').insert({
src/hooks/useConfirmedWinners.ts,214,.update({
src/hooks/useConfirmedWinners.ts,222,await supabase.from('confirmation_audit_log').insert({
src/hooks/useDeliveryData.ts,153,"await supabase.from(""delivery_activity_log"").insert([{"
src/hooks/useDeliveryExecution.ts,254,.update({
src/hooks/useDispatchInterventions.ts,190,.insert({
src/hooks/useDispatchInterventions.ts,229,.insert({
src/hooks/useDispatchInterventions.ts,259,.insert({
src/hooks/useDispatchInterventions.ts,308,.insert({
src/hooks/useDispatchInterventions.ts,359,.insert({
src/hooks/useDispatchInterventions.ts,420,.insert({
src/hooks/useDispatchInterventions.ts,455,.insert({
src/hooks/useDynamicKPIs.ts,367,"supabase.from(""kpi_categories"").update({ sort_order: index }).eq(""id"", id)"
src/hooks/useDynamicKPIs.ts,375,"supabase.from(""kpi_definitions"").update({ sort_order: index }).eq(""id"", id)"
src/hooks/useDynamicKPIs.ts,382,"await supabase.from(""kpi_categories"").update({ is_archived: true }).eq(""id"", id);"
src/hooks/useDynamicKPIs.ts,387,"await supabase.from(""kpi_categories"").update({ is_archived: false }).eq(""id"", id);"
src/hooks/useDynamicKPIs.ts,392,"await supabase.from(""kpi_definitions"").update({ is_archived: true }).eq(""id"", id);"
src/hooks/useDynamicKPIs.ts,397,"await supabase.from(""kpi_definitions"").update({ is_archived: false }).eq(""id"", id);"
src/hooks/useDynamicKPIs.ts,402,"await supabase.from(""kpi_definitions"").update({ is_active: isActive }).eq(""id"", id);"
src/hooks/useEntityAudit.ts,23,await supabase.from('entity_audit_log').insert({
src/hooks/useEntityAudit.ts,62,await supabase.from('entity_audit_log').insert(
src/hooks/useEquipmentAssignments.ts,76,.update({ unassigned_at: new Date().toISOString() })
src/hooks/useEventSpaces.ts,116,"await supabase.from('event_space_features').delete().eq('event_space_id', spaceId);"
src/hooks/useExecutionRun.ts,169,"await (supabase as any).from('follow_up_execution_runs').update({ status: 'paused' }).eq('id', activeRunId);"
src/hooks/useExecutionRun.ts,176,"await (supabase as any).from('follow_up_execution_runs').update({ status: 'running' }).eq('id', activeRunId);"
src/hooks/useExecutionRun.ts,183,"await (supabase as any).from('follow_up_execution_runs').update({ status: 'cancelled' }).eq('id', activeRunId);"
src/hooks/useExecutionRun.ts,193,.update({ status: 'failed' })
src/hooks/useFieldOutcomeCapture.ts,67,"await supabase.from(""store_notes"").insert({"
src/hooks/useFieldOutcomeCapture.ts,77,.update({
src/hooks/useFieldSubmissions.ts,381,await supabase.from('notifications').insert({
src/hooks/useFieldSubmissions.ts,438,await supabase.from('notifications').insert({
src/hooks/useFollowUpEngine.ts,191,.update({ status: 'resolved' })
src/hooks/useGovernedAction.ts,231,*     await supabase.from('orders').insert({ ... });
src/hooks/useInventoryState.ts,191,await supabase.from('batch_state_history').insert({
src/hooks/useInventoryState.ts,200,await supabase.from('production_history').insert({
src/hooks/useLearningEngine.ts,207,await (supabase as any).from('sbo_decision_weight_history').insert({
src/hooks/useLearningEngine.ts,252,await (supabase as any).from('sbo_decision_weight_history').insert({
src/hooks/useLearningEngine.ts,289,await (supabase as any).from('sbo_decision_weight_history').insert({
src/hooks/useLearningEngine.ts,376,await (supabase as any).from('sbo_decision_weight_history').insert({
src/hooks/useLiveCallSessions.ts,161,"await supabase.from(""ai_call_tone_events"").insert({"
src/hooks/useLiveCallSessions.ts,190,"await supabase.from(""ai_call_tone_events"").insert({"
src/hooks/useLiveMode.ts,148,"await supabase.from(""mode_transition_logs"").insert({"
src/hooks/useLiveMode.ts,196,"await supabase.from(""mode_transition_logs"").insert({"
src/hooks/useLiveMode.ts,252,"await supabase.from(""mode_transition_logs"").insert({"
src/hooks/useLiveModeGovernance.ts,261,.update({
src/hooks/useLiveModeGovernance.ts,280,"await supabase.from(""mode_transition_logs"").insert({"
src/hooks/useMarketplaceControlTower.ts,407,".update({ status: 'held', hold_reason: params.reason })"
src/hooks/useMarketplaceControlTower.ts,411,".update({ status: 'approved', hold_reason: null })"
src/hooks/useMarketplaceControlTower.ts,416,.update({ is_frozen: true } as any)
src/hooks/useMarketplaceControlTower.ts,420,.update({ is_frozen: false } as any)
src/hooks/useMarketplaceControlTower.ts,424,.update({ status: 'reversed' })
src/hooks/useMarketplaceControlTower.ts,433,await supabase.from('vendor_liabilities').insert({
src/hooks/useMarketplaceControlTower.ts,443,".update({ value: { active: true }, updated_by: user.id } as any)"
src/hooks/useMarketplaceControlTower.ts,447,".update({ value: { active: false }, updated_by: user.id } as any)"
src/hooks/useMarketplacePayouts.ts,105,await supabase.from('marketplace_payout_events').insert([{
src/hooks/useMaterialAllocations.ts,233,await supabase.from('raw_allocation_overrides' as any).insert({
src/hooks/useMissionControl.ts,121,await supabase.from('owner_mission_activity').insert({
src/hooks/useMissionControl.ts,163,await supabase.from('owner_mission_activity').insert({
src/hooks/useOutreachWiring.ts,13,await (supabase.from('ai_work_tasks') as any).insert({
